학교,학년,3모,1학기 중간,5모,6모,1학기 기말,7모,여름방학,9모,2학기 중간,10모,2학기 기말,겨울방학
성화중,3학년,,4/27~29,,,7/1~3,,7/21~8/21,,10/27~29,,x,1.8~
산남중,1학년,,4/29~30,,,7/1~3,,7/23~8/21,,x,,x,1/11~
산남중,2학년,,4/29~30,,,7/1~3,,7/23~8/21,,10/27~28,,12/16~18,1/11~
산남중,3학년,,4/29~30,,,7/1~3,,7/23~8/21,,10/26~28,,x,1/11~
원봉중,1학년,,4/28~29,,,7/1~3,,7/23~8/19,,x,,x,1/8~
원봉중,2학년,,4/28~29,,,7/1~3,,7/23~8/19,,10/15~16,,12/15~17,1/8~
원봉중,3학년,,4/28~29,,,7/1~3,,7/23~8/19,,10/27~29,,x,1/8~
청주고,1학년,03-24,4/24~30,x,x,6/29~7/3,x,7/21~8/18,09-02,10/12~16,,12/14~17,12/31~
청주고,2학년,03-24,4/24~30,x,x,6/29~7/3,x,7/21~8/18,09-02,10/12~16,,12/14~17,12/31~
청주고,3학년,03-24,4/24~30,x,x,6/29~7/3,x,7/21~8/18,09-02,10/12~16,,x,12/31~
금천중,1학년,,4/30~5/1,,,6/30~7/2,,7/20~8/18,,x,,x,1/5~
금천중,2학년,,4/30~5/1,,,6/30~7/2,,7/20~8/18,,x,,12/14~16,1/5~
금천중,3학년,,4/30~5/1,,,6/30~7/2,,7/20~8/18,,10/27~29,,x,1/5~
금천고,1학년,03-24,4/27~29,,06-04,6/29~7/2,,7/22~8/18,09-02,10/13~16,10-20,12/7~10,12/29~
금천고,2학년,03-24,4/27~29,,06-04,6/29~7/2,,7/22~8/18,09-02,10/13~16,10-20,12/7~10,12/29~
금천고,3학년,03-24,4/27~29,05-07,06-04,6/29~7/2,07-08,7/22~8/18,09-02,10/13~16,10-20,x,12/29~
주석고,1학년,03-24,4/27~30,,06-04,6/25~30,,7/20~8/5,09-02,9/29~10/2,10-20,12/1~4,12/18~
